time;machine;benchmark;#SDC;#abort;#end;acc_time;header;acc_err;file_path
Wed May 26 11:19:41 2021;carol-raspberry1;Detection_ECC_OFF;0;0;0;48.406245; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/ssdlite_mobiledet_coco_qat_postprocess_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/VOC2012.txt;0;/tmp/parserSDC/2021_05_26_11_19_41_Detection_ECC_OFF_carol-raspberry1.log
Wed May 26 11:22:32 2021;carol-raspberry1;Detection_ECC_OFF;0;0;0;9.712897; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/ssdlite_mobiledet_coco_qat_postprocess_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/VOC2012.txt;0;/tmp/parserSDC/2021_05_26_11_22_32_Detection_ECC_OFF_carol-raspberry1.log
Wed May 26 11:25:46 2021;carol-raspberry1;Detection_ECC_OFF;0;0;0;16.237286; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/ssdlite_mobiledet_coco_qat_postprocess_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/VOC2012.txt;0;/tmp/parserSDC/2021_05_26_11_25_46_Detection_ECC_OFF_carol-raspberry1.log
Thu May 27 05:36:39 2021;carol-raspberry1;Detection_ECC_OFF;0;0;0;6108.8721; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/ssd_mobilenet_v2_coco_quant_postprocess_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/VOC2012.txt;0;/tmp/parserSDC/2021_05_27_05_36_39_Detection_ECC_OFF_carol-raspberry1.log
Thu May 27 09:28:44 2021;carol-raspberry1;Coral-Conv2d_ECC_OFF;0;0;0;1.413796; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/models/conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/inputs/rand-conv_2d_1_256_256_1_40_40_1_1.bmp, golden_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/golden/golden_rand_conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.out;0;/tmp/parserSDC/2021_05_27_09_28_44_Coral-Conv2d_ECC_OFF_carol-raspberry1.log
Thu May 27 09:29:22 2021;carol-raspberry1;Coral-Conv2d_ECC_OFF;0;0;0;97.441919; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/models/conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/inputs/rand-conv_2d_1_256_256_1_40_40_1_1.bmp, golden_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/golden/golden_rand_conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.out;0;/tmp/parserSDC/2021_05_27_09_29_22_Coral-Conv2d_ECC_OFF_carol-raspberry1.log
Thu May 27 09:32:38 2021;carol-raspberry1;Coral-Conv2d_ECC_OFF;0;0;0;12.596459; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/models/conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/inputs/rand-conv_2d_1_256_256_1_40_40_1_1.bmp, golden_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/golden/golden_rand_conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.out;0;/tmp/parserSDC/2021_05_27_09_32_38_Coral-Conv2d_ECC_OFF_carol-raspberry1.log
Thu May 27 09:34:21 2021;carol-raspberry1;Coral-Conv2d_ECC_OFF;0;0;0;41.176127; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/models/conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/inputs/rand-conv_2d_1_256_256_1_40_40_1_1.bmp, golden_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/golden/golden_rand_conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.out;0;/tmp/parserSDC/2021_05_27_09_34_21_Coral-Conv2d_ECC_OFF_carol-raspberry1.log
Thu May 27 09:36:05 2021;carol-raspberry1;Coral-Conv2d_ECC_OFF;0;0;0;67.183861; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/models/conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/inputs/rand-conv_2d_1_256_256_1_40_40_1_1.bmp, golden_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/golden/golden_rand_conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.out;0;/tmp/parserSDC/2021_05_27_09_36_05_Coral-Conv2d_ECC_OFF_carol-raspberry1.log
Thu May 27 09:38:32 2021;carol-raspberry1;Coral-Conv2d_ECC_OFF;0;0;0;35.703189; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/models/conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/inputs/rand-conv_2d_1_256_256_1_40_40_1_1.bmp, golden_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/golden/golden_rand_conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.out;0;/tmp/parserSDC/2021_05_27_09_38_32_Coral-Conv2d_ECC_OFF_carol-raspberry1.log
Thu May 27 09:40:04 2021;carol-raspberry1;Coral-Conv2d_ECC_OFF;0;0;0;16.100227; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/models/conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/inputs/rand-conv_2d_1_256_256_1_40_40_1_1.bmp, golden_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/golden/golden_rand_conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.out;0;/tmp/parserSDC/2021_05_27_09_40_04_Coral-Conv2d_ECC_OFF_carol-raspberry1.log
Thu May 27 09:41:56 2021;carol-raspberry1;Coral-Conv2d_ECC_OFF;0;0;0;47.949886; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/models/conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/inputs/rand-conv_2d_1_256_256_1_40_40_1_1.bmp, golden_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/golden/golden_rand_conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.out;0;/tmp/parserSDC/2021_05_27_09_41_56_Coral-Conv2d_ECC_OFF_carol-raspberry1.log
Thu May 27 09:43:53 2021;carol-raspberry1;Coral-Conv2d_ECC_OFF;0;0;0;26.847329; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/models/conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/inputs/rand-conv_2d_1_256_256_1_40_40_1_1.bmp, golden_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/golden/golden_rand_conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.out;0;/tmp/parserSDC/2021_05_27_09_43_53_Coral-Conv2d_ECC_OFF_carol-raspberry1.log
Thu May 27 09:46:04 2021;carol-raspberry1;Coral-Conv2d_ECC_OFF;0;0;0;133.18409; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/models/conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/inputs/rand-conv_2d_1_256_256_1_40_40_1_1.bmp, golden_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/golden/golden_rand_conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.out;0;/tmp/parserSDC/2021_05_27_09_46_04_Coral-Conv2d_ECC_OFF_carol-raspberry1.log
Thu May 27 09:50:22 2021;carol-raspberry1;Coral-Conv2d_ECC_OFF;0;0;0;25.370721; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/models/conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/inputs/rand-conv_2d_1_256_256_1_40_40_1_1.bmp, golden_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/golden/golden_rand_conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.out;0;/tmp/parserSDC/2021_05_27_09_50_22_Coral-Conv2d_ECC_OFF_carol-raspberry1.log
Thu May 27 09:52:30 2021;carol-raspberry1;Coral-Conv2d_ECC_OFF;0;0;0;136.075965; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/models/conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/inputs/rand-conv_2d_1_256_256_1_40_40_1_1.bmp, golden_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/golden/golden_rand_conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.out;0;/tmp/parserSDC/2021_05_27_09_52_30_Coral-Conv2d_ECC_OFF_carol-raspberry1.log
Thu May 27 09:56:55 2021;carol-raspberry1;Coral-Conv2d_ECC_OFF;0;0;0;54.78226; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/models/conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/inputs/rand-conv_2d_1_256_256_1_40_40_1_1.bmp, golden_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/golden/golden_rand_conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.out;0;/tmp/parserSDC/2021_05_27_09_56_55_Coral-Conv2d_ECC_OFF_carol-raspberry1.log
Thu May 27 09:58:59 2021;carol-raspberry1;Coral-Conv2d_ECC_OFF;0;0;0;36.192677; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/models/conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/inputs/rand-conv_2d_1_256_256_1_40_40_1_1.bmp, golden_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/golden/golden_rand_conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.out;0;/tmp/parserSDC/2021_05_27_09_58_59_Coral-Conv2d_ECC_OFF_carol-raspberry1.log
Thu May 27 10:00:33 2021;carol-raspberry1;Coral-Conv2d_ECC_OFF;0;0;0;52.312266; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/models/conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/inputs/rand-conv_2d_1_256_256_1_40_40_1_1.bmp, golden_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/golden/golden_rand_conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.out;0;/tmp/parserSDC/2021_05_27_10_00_33_Coral-Conv2d_ECC_OFF_carol-raspberry1.log
Thu May 27 10:02:33 2021;carol-raspberry1;Coral-Conv2d_ECC_OFF;0;0;0;19.027485; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/models/conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/inputs/rand-conv_2d_1_256_256_1_40_40_1_1.bmp, golden_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/golden/golden_rand_conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.out;0;/tmp/parserSDC/2021_05_27_10_02_33_Coral-Conv2d_ECC_OFF_carol-raspberry1.log
Thu May 27 10:04:31 2021;carol-raspberry1;Coral-Conv2d_ECC_OFF;0;0;0;27.776573; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/models/conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/inputs/rand-conv_2d_1_256_256_1_40_40_1_1.bmp, golden_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/golden/golden_rand_conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.out;0;/tmp/parserSDC/2021_05_27_10_04_31_Coral-Conv2d_ECC_OFF_carol-raspberry1.log
