,start_dt,end_dt,benchmark,#SDC,#DUE,#abort,#end,Acc Err,Acc Time
0,2021-07-02 11:24:48.000000,2021-07-02 11:24:49.121637,Conv 1024,1,1,0,0,109.0,1.121637
28,2021-07-02 12:11:18.000000,2021-07-02 12:11:23.097626,Conv 1024,4,1,0,0,12.0,5.097626
30,2021-07-02 11:29:13.000000,2021-07-02 11:29:13.559194,Conv 1024,1,0,1,1,19241.0,0.559194
31,2021-07-02 11:59:29.000000,2021-07-02 11:59:32.364953,Conv 1024,3,1,0,0,18.0,3.364953
32,2021-07-02 11:54:58.000000,2021-07-02 11:55:00.948501,Conv 1024,2,1,0,0,114.0,2.948501
38,2021-07-02 11:12:01.000000,2021-07-02 11:12:04.441599,Conv 1024,4,1,0,0,23.0,3.441599
39,2021-07-02 11:31:34.000000,2021-07-02 11:31:39.042561,Conv 1024,3,1,0,0,64.0,5.042561
40,2021-07-02 11:48:35.000000,2021-07-02 11:48:37.777956,Conv 1024,3,0,1,1,20.0,2.777956
44,2021-07-02 11:13:27.000000,2021-07-02 11:13:30.857772,Conv 1024,2,1,0,0,19.0,3.857772
46,2021-07-02 11:42:03.000000,2021-07-02 11:42:09.212092,Conv 1024,4,1,0,0,12.0,6.212092
50,2021-07-02 11:46:09.000000,2021-07-02 11:46:15.782110,Conv 1024,3,1,0,0,38.0,6.78211
51,2021-07-02 11:21:16.000000,2021-07-02 11:21:18.257883,Conv 1024,2,1,0,0,71.0,2.257883
52,2021-07-02 12:07:03.000000,2021-07-02 12:07:04.091364,Conv 1024,2,0,1,1,2.0,1.091364
56,2021-07-02 11:15:36.000000,2021-07-02 11:15:52.016394,Conv 1024,8,1,0,0,54.0,16.016394
58,2021-07-02 11:44:08.000000,2021-07-02 11:44:09.688539,Conv 1024,3,1,0,0,49.0,1.688539
59,2021-07-02 11:57:10.000000,2021-07-02 11:57:12.266153,Conv 1024,2,1,0,0,10.0,2.266153
60,2021-07-02 12:09:12.000000,2021-07-02 12:09:17.025185,Conv 1024,5,0,1,1,1484.0,5.025185
61,2021-07-02 11:14:07.000000,2021-07-02 11:14:10.397691,Conv 1024,1,1,0,0,5.0,3.397691
27,2021-07-02 12:02:07.000000,2021-07-02 12:02:15.229205,Conv 1024,5,1,0,0,233.0,8.229205
26,2021-07-02 11:20:38.000000,2021-07-02 11:20:40.248739,Conv 1024,1,1,0,0,10.0,2.248739
33,2021-07-02 11:46:52.000000,2021-07-02 11:46:53.689040,Conv 1024,1,1,0,0,16.0,1.68904
5,2021-07-02 11:18:34.000000,2021-07-02 11:18:36.288262,Conv 1024,1,1,0,0,223.0,2.288262
16,2021-07-02 11:11:24.000000,2021-07-02 11:11:24.560751,Conv 1024,1,1,0,0,1.0,0.560751
15,2021-07-02 12:07:41.000000,2021-07-02 12:07:43.899207,Conv 1024,3,1,0,0,22.0,2.899207
7,2021-07-02 12:04:07.000000,2021-07-02 12:04:10.878925,Conv 1024,4,0,1,1,11.0,3.878925
11,2021-07-02 11:50:39.000000,2021-07-02 11:50:40.144615,Conv 1024,1,1,0,0,1.0,1.144615
12,2021-07-02 11:22:45.000000,2021-07-02 11:22:46.141695,Conv 1024,2,0,1,1,31765.0,1.141695
21,2021-06-30 07:17:28.000000,2021-06-30 07:17:47.641297,Conv 256,4,1,0,0,137.0,19.641297
63,2021-06-30 07:17:56.000000,2021-06-30 07:18:27.149655,Conv 256,6,0,1,1,141.0,31.149655
1,2021-06-30 07:18:14.000000,2021-06-30 07:19:02.840370,Conv 256,14,0,1,1,926.0,48.84037
2,2021-06-30 07:17:54.000000,2021-06-30 07:18:20.799275,Conv 256,7,0,1,1,5007.0,26.799275
4,2021-06-30 07:17:34.000000,2021-06-30 07:17:47.705044,Conv 256,3,1,0,0,31.0,13.705044
57,2021-06-30 07:17:27.000000,2021-06-30 07:17:49.643970,Conv 256,2,1,0,0,2.0,22.64397
53,2021-06-30 07:18:17.000000,2021-06-30 07:18:45.466186,Conv 256,8,1,0,0,62.0,28.466186
6,2021-06-30 07:17:55.000000,2021-06-30 07:18:52.295083,Conv 256,15,1,0,0,507.0,57.295083
47,2021-06-30 07:18:30.000000,2021-06-30 07:18:50.479788,Conv 256,1,1,0,0,10.0,20.479788
13,2021-06-30 07:17:25.000000,2021-06-30 07:17:34.677096,Conv 256,1,0,1,1,4837.0,9.677096
66,2021-06-30 07:17:26.000000,2021-06-30 07:17:40.467562,Conv 256,1,1,0,0,1.0,14.467562
29,2021-07-02 11:06:00.000000,2021-07-02 11:06:32.423225,Conv 256,3,1,0,0,7.0,32.423225
25,2021-07-02 11:09:16.000000,2021-07-02 11:09:22.044762,Conv 256,1,1,0,0,3.0,6.044762
14,2021-06-30 07:17:22.000000,2021-06-30 07:17:29.906560,Conv 256,4,1,0,0,53.0,7.90656
24,2021-07-02 12:11:59.000000,2021-07-02 12:12:02.712951,DepthConv 1024,6,1,0,0,33.0,3.712951
64,2021-07-02 10:24:06.000000,2021-07-02 10:24:27.592125,DepthConv 256,4,1,0,0,92.0,21.592125
22,2021-07-02 10:14:45.000000,2021-07-02 10:14:50.393906,DepthConv 256,3,1,0,0,85.0,5.393906
62,2021-07-02 10:28:57.000000,2021-07-02 10:29:01.701492,DepthConv 256,1,1,0,0,78.0,4.701492
23,2021-07-02 10:15:35.000000,2021-07-02 10:15:40.262363,DepthConv 256,3,0,1,1,336.0,5.262363
3,2021-07-02 10:53:55.000000,2021-07-02 10:53:58.344911,DepthConv 256,1,1,0,0,158.0,3.344911
19,2021-07-02 10:17:24.000000,2021-07-02 10:17:24.893769,DepthConv 256,1,1,0,0,2.0,0.893769
18,2021-07-02 10:41:01.000000,2021-07-02 10:41:24.083313,DepthConv 256,5,0,1,1,5105.0,23.083313
55,2021-07-02 10:51:37.000000,2021-07-02 10:51:55.958868,DepthConv 256,4,0,1,1,780.0,18.958868
54,2021-07-02 10:32:12.000000,2021-07-02 10:32:14.342257,DepthConv 256,1,0,1,1,16196.0,2.342257
17,2021-07-02 10:42:30.000000,2021-07-02 10:42:50.079199,DepthConv 256,3,1,0,0,22.0,20.079199
36,2021-07-02 10:20:56.000000,2021-07-02 10:21:06.261672,DepthConv 256,3,0,1,1,10486.0,10.261672
8,2021-07-02 10:10:45.000000,2021-07-02 10:11:34.203254,DepthConv 256,12,1,0,0,617.0,49.203254
49,2021-07-02 10:50:20.000000,2021-07-02 10:50:34.440781,DepthConv 256,3,1,0,0,117.0,14.440781
48,2021-07-02 10:07:55.000000,2021-07-02 10:08:15.062898,DepthConv 256,1,1,0,0,131.0,20.062898
65,2021-07-02 10:47:53.000000,2021-07-02 10:48:02.698176,DepthConv 256,2,1,0,0,207.0,9.698176
9,2021-07-02 10:05:31.000000,2021-07-02 10:05:39.566229,DepthConv 256,2,1,0,0,75.0,8.566229
45,2021-07-02 10:18:01.000000,2021-07-02 10:18:27.786532,DepthConv 256,6,0,1,1,10419.0,26.786532
10,2021-07-02 11:00:17.000000,2021-07-02 11:00:32.647178,DepthConv 256,6,0,1,1,59.0,15.647178
20,2021-07-02 10:38:10.000000,2021-07-02 10:38:30.459056,DepthConv 256,6,0,1,1,1196.0,20.459056
42,2021-07-02 11:02:19.000000,2021-07-02 11:02:41.009057,DepthConv 256,4,0,1,1,1339.0,22.009057
41,2021-07-02 10:57:07.000000,2021-07-02 10:57:23.370945,DepthConv 256,3,1,0,0,65.0,16.370945
34,2021-07-02 10:34:45.000000,2021-07-02 10:35:19.335654,DepthConv 256,5,0,1,1,20700.0,34.335654
35,2021-07-02 10:31:18.000000,2021-07-02 10:31:25.165430,DepthConv 256,4,0,1,1,1003.0,7.16543
37,2021-07-02 10:44:48.000000,2021-07-02 10:44:54.853815,DepthConv 256,1,0,1,1,1072.0,6.853815
43,2021-07-02 10:56:06.000000,2021-07-02 10:56:15.604926,DepthConv 256,3,1,0,0,21.0,9.604926
